city_id,city,Cloudiness,Humidity,Latitude,Longitude,Country,Max Temp,Wind Speed
101,puerto ayora,20,69,-0.74,-90.35,EC,75.2,18.34
102,constitucion,100,82,-35.33,-72.42,CL,53.73,9.98
103,bredasdorp,0,93,-34.53,20.04,ZA,50.0,2.24
104,vydrino,47,71,51.48,104.85,RU,50.09,3.27
105,klisura,4,95,42.7,24.45,BG,64.99,2.51
106,bayan,12,80,46.08,127.4,CN,70.34,4.12
107,beloha,3,81,-25.17,45.05,MG,57.99,6.67
108,dano,100,85,11.15,-3.07,BF,74.16,8.63
109,clyde river,75,52,70.47,-68.59,CA,66.2,12.75
110,mehamn,96,93,71.04,27.85,NO,51.8,4.7
111,umm lajj,0,70,25.02,37.27,SA,82.71,5.75
112,okhotsk,100,89,59.38,143.3,RU,56.48,7.63
113,lagoa,100,81,39.05,-27.98,PT,68.45,13.29
114,provideniya,90,81,64.38,-173.3,RU,48.2,4.47
115,santiago del estero,0,32,-27.8,-64.26,AR,69.21,3.11
116,saint george,1,12,37.1,-113.58,US,104.0,12.75
117,harper,76,78,4.38,-7.72,LR,75.07,9.93
118,seoul,1,94,37.57,126.98,KR,71.6,0.94
119,vinstra,60,75,61.6,9.75,NO,57.38,6.73
120,inyonga,19,40,-6.72,32.07,TZ,60.75,6.82
121,thompson,75,63,55.74,-97.86,CA,66.2,13.87
122,loralai,0,52,30.37,68.6,PK,78.73,5.3
123,bambanglipuro,5,90,-7.95,110.28,ID,74.41,0.76
124,vaini,20,78,-21.2,-175.2,TO,77.0,6.93
125,ulladulla,75,66,-35.35,150.47,AU,53.01,12.75
126,sao desiderio,0,36,-12.36,-44.97,BR,76.95,5.55
127,beringovskiy,93,78,63.05,179.32,RU,52.65,4.74
128,murud,100,86,18.33,72.97,IN,79.34,16.31
129,murmashi,31,67,68.82,32.81,RU,62.6,4.47
130,huarmey,4,70,-10.07,-78.15,PE,65.59,9.78
131,carauari,89,49,-4.88,-66.9,BR,88.7,2.15
132,ouango,100,96,4.31,22.56,CF,71.56,2.46
133,zhezkazgan,0,27,47.8,67.71,KZ,76.57,16.33
134,broome,90,73,42.25,-75.83,US,75.99,14.99
135,filimonovo,92,90,56.2,95.46,RU,56.86,14.45
136,maracas,2,82,-13.44,-40.43,BR,63.03,6.85
137,qaanaaq,85,78,77.48,-69.36,GL,44.15,4.34
138,banda aceh,80,83,5.56,95.32,ID,79.18,5.06
139,pacific grove,40,68,36.62,-121.92,US,72.0,9.17
140,arraial do cabo,75,64,-22.97,-42.03,BR,69.8,6.93
141,katherine,0,43,-14.47,132.27,AU,55.4,3.36
142,san mateo ixtatan,13,53,15.83,-91.48,GT,63.39,8.61
143,bayir,0,50,37.27,28.22,TR,77.0,4.7
144,bogotol,100,97,56.21,89.53,RU,59.04,8.32
145,lumeje,0,35,-11.55,20.78,AO,60.78,9.62
146,cabo san lucas,5,62,22.89,-109.91,MX,93.2,11.41
147,lewiston,90,68,44.1,-70.21,US,68.0,11.41
148,farafangana,38,77,-22.82,47.83,MG,64.53,11.99
149,dori,75,40,14.04,-0.03,BF,91.76,5.17
150,pisco,90,87,-13.7,-76.22,PE,62.01,3.36
151,maceio,40,65,-9.67,-35.74,BR,77.0,13.87
152,mitsamiouli,0,72,-11.38,43.28,KM,75.99,21.63
153,itapuranga,0,36,-15.56,-49.95,BR,74.7,0.58
154,manzhouli,93,87,49.6,117.43,CN,64.54,5.86
155,talnakh,40,93,69.49,88.4,RU,48.2,13.42
156,tuatapere,40,94,-46.13,167.68,NZ,32.86,3.6
157,mabaruma,100,75,8.2,-59.78,GY,83.89,5.79
158,ponta do sol,1,73,32.67,-17.1,PT,71.6,3.36
159,cherskiy,0,58,68.75,161.3,RU,50.09,3.38
160,morondava,0,46,-20.28,44.28,MG,72.0,21.83
161,hualmay,27,71,-11.1,-77.61,PE,64.45,8.61
162,kaeo,100,3,-35.1,173.78,NZ,60.01,8.01
163,kaitangata,9,75,-46.28,169.85,NZ,39.0,1.99
164,whitehaven,77,90,54.55,-3.58,GB,63.0,6.02
